policy_id,fraud
681822,0.2665987
301288,0.6548388
212001,0.24952228
797680,0.26521966
789334,0.23808636
275166,0.24952228
753093,0.24952228
464667,0.24952228
663141,0.23808636
248351,0.23808636
778894,0.23808636
644825,0.23808636
770514,0.4177194
484325,0.23808636
925974,0.23808636
152491,0.53437865
511885,0.23808636
782820,0.24952228
389475,0.23808636
686772,0.24952228
940840,0.23808636
621475,0.24952228
208514,0.6077793
928992,0.23808636
401273,0.24952228
926123,0.4897248
430800,0.23808636
823727,0.23808636
217473,0.24952228
205749,0.24952228
512081,0.5070397
961804,0.23808636
839604,0.60231036
610885,0.43403497
112834,0.23808636
426251,0.23808636
202252,0.6388223
616367,0.24952228
770951,0.23808636
291826,0.23808636
133119,0.61048925
127997,0.23808636
637024,0.23808636
462878,0.23808636
327212,0.50131536
411477,0.23808636
162576,0.23808636
140990,0.24952228
148183,0.61424637
636682,0.23808636
654998,0.23808636
388619,0.23808636
250047,0.24952228
293050,0.68447363
492128,0.6643022
500255,0.23808636
179293,0.23808636
466711,0.5258541
344847,0.24952228
666233,0.70014447
775687,0.23808636
591378,0.23808636
220783,0.23808636
289448,0.6208786
605127,0.24952228
439694,0.4058874
441937,0.23808636
782283,0.60470057
678710,0.24952228
609317,0.37108007
728836,0.23808636
957002,0.26521966
684323,0.59847736
391330,0.23808636
985533,0.23808636
333029,0.24952228
968702,0.23808636
654142,0.23808636
707117,0.45174196
780020,0.24952228
661375,0.23808636
156253,0.23808636
606310,0.6620311
381244,0.26521966
921868,0.24952228
664606,0.23808636
841122,0.35672113
259695,0.23808636
807162,0.23808636
155724,0.66988236
682848,0.24952228
511789,0.5218756
378599,0.67267704
897134,0.24952228
796642,0.24952228
543155,0.24952228
231021,0.23808636
902777,0.23808636
233983,0.6149016
1017754,0.313821
754547,0.23808636
925210,0.66098875
168764,0.23808636
856942,0.23808636
682012,0.23808636
299311,0.26521966
647869,0.66885275
533140,0.68309796
649079,0.23808636
422274,0.23808636
929971,0.23808636
520537,0.43403497
776572,0.23808636
222510,0.24952228
172749,0.24952228
738704,0.44247064
477761,0.23808636
161790,0.23808636
863960,0.6406149
313286,0.23808636
541979,0.4058874
556332,0.23808636
179713,0.6607653
645921,0.58590835
849384,0.23808636
614512,0.7003538
807157,0.23808636
877608,0.23808636
594059,0.26521966
895903,0.2665987
698071,0.24952228
413489,0.45240474
171987,0.23808636
966581,0.23808636
841397,0.24952228
217809,0.23808636
554565,0.23808636
534103,0.5995961
716202,0.67267704
447728,0.24952228
675298,0.23808636
111626,0.23808636
645695,0.6158937
223240,0.24952228
578621,0.59285885
345467,0.6051018
279404,0.24952228
287471,0.23808636
730486,0.23808636
571165,0.24952228
576836,0.26521966
764272,0.24952228
445527,0.7019835
900497,0.6148429
564461,0.23808636
506524,0.23808636
903330,0.6591844
597895,0.23808636
536923,0.24952228
149034,0.23808636
148435,0.6231216
939743,0.35672113
477621,0.5764025
444707,0.6299555
966152,0.52301776
663539,0.6381379
603174,0.24952228
156546,0.24952228
658586,0.57918966
250832,0.23808636
412094,0.23808636
965632,0.24952228
296010,0.58479196
821594,0.66291034
320404,0.23808636
467978,0.62596905
842518,0.24952228
780286,0.4058874
415298,0.26521966
342144,0.23808636
395587,0.23808636
431471,0.26521966
273703,0.23808636
346072,0.23808636
577233,0.24952228
367987,0.6827936
480869,0.35672113
232367,0.6857984
181642,0.23808636
185870,0.24952228
492891,0.24952228
339043,0.23808636
788031,0.26521966
908334,0.65307873
247446,0.57532924
487169,0.4058874
916113,0.23808636
973109,0.23808636
374580,0.23808636
377829,0.6051018
973873,0.2707251
400899,0.23808636
183643,0.313821
316802,0.23808636
282972,0.23808636
913765,0.23808636
693457,0.23808636
980023,0.43805072
846995,0.23808636
688362,0.24952228
250951,0.26521966
882850,0.4058874
838173,0.23808636
480884,0.23808636
788520,0.7034551
206851,0.23808636
434086,0.56323373
284278,0.23808636
477670,0.23808636
857489,0.633404
346339,0.24952228
243912,0.4058874
109865,0.23808636
628167,0.23808636
536920,0.23808636
912686,0.6379076
901268,0.24952228
424208,0.23808636
261905,0.23808636
563720,0.23808636
360692,0.24952228
206541,0.23808636
468086,0.23808636
392780,0.24952228
176442,0.5912321
388910,0.2707251
687698,0.23808636
463863,0.24952228
479010,0.24952228
166116,0.23808636
949955,0.24952228
180644,0.2707251
135236,0.23808636
754567,0.24952228
430975,0.24952228
841315,0.6051018
639847,0.23808636
866870,0.23808636
804517,0.28314608
274001,0.23808636
482029,0.6032871
431478,0.5033638
276348,0.56147027
546758,0.23808636
693415,0.24952228
235652,0.4058874
529472,0.5476616
676552,0.23808636
437582,0.26242286
831513,0.23808636
493446,0.6891971
593332,0.27460644
428847,0.56637484
758626,0.24952228
942162,0.24952228
830611,0.24952228
606210,0.23808636
502360,0.23808636
438012,0.24952228
268884,0.24952228
693669,0.6284142
978322,0.23808636
404869,0.48580974
628477,0.63419515
225347,0.49900523
457928,0.23808636
1023865,0.24952228
351416,0.23808636
441909,0.43403497
117633,0.23808636
887070,0.23808636
299199,0.23808636
174690,0.23808636
815400,0.58479196
265475,0.62288743
665842,0.23808636
889820,0.6004082
353959,0.28314608
811880,0.639763
573188,0.23808636
870334,0.23808636
500418,0.4888792
186478,0.5190313
150112,0.24952228
936492,0.43159327
663065,0.23808636
283767,0.24952228
325099,0.23808636
465673,0.2707251
913900,0.24952228
